Country Name,Country Code,Adjusted net national income (current US$) [NY.ADJ.NNTY.CD],"Air transport, passengers carried [IS.AIR.PSGR]",Average precipitation in depth (mm per year) [AG.LND.PRCP.MM],Children out of school (% of primary school age) [SE.PRM.UNER.ZS],Employment in industry (% of total employment) (modeled ILO estimate) [SL.IND.EMPL.ZS],"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]",Food exports (% of merchandise exports) [TX.VAL.FOOD.ZS.UN],Forest area (% of land area) [AG.LND.FRST.ZS],Individuals using the Internet (% of population) [IT.NET.USER.ZS],"Intentional homicides (per 100,000 people) [VC.IHR.PSRC.P5]","International tourism, number of arrivals [ST.INT.ARVL]",Land area (sq. km) [AG.LND.TOTL.K2],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"
Solomon Islands,SLB,620441012.064862,138160.1153057,3028,,9.34099960327148,4.099,,78.6638085030368,6.9974,,23900,27990,69.4
Somalia,SOM,,178709.7,282,,7.5789999961853,6.665,,10.5100902222081,1.3767,,,627340,54.694
South Africa,ZAF,319643665282.597,17571565.2032155,495,,23.4459991455078,2.554,9.69266092609044,7.61773652408313,41,30.5915974940514,9188000,1213090,58.545
South Sudan,SSD,9106628563.92486,,900,,17.9769992828369,5.197,,,,13.9024231073062,,,54.756
Spain,ESP,1086762731921.5,48089178.327112,636,0.33186000585556,20.6720008850098,1.32,15.4852108706484,36.615561464185,69.8099999420024,0.77682493891467,57464000,500210,82.4268292682927
Sri Lanka,LKA,62727440627.5333,4616417,1712,4.64991998672485,26.0699996948242,2.138,26.4128991885374,33.3248285759847,18.2854,3.30974163206983,1006000,62710,74.593
St. Kitts and Nevis,KNA,,,1427,,,,10.3680005494482,42.3076923076923,64,34.2263885455686,104000,260,
St. Lucia,LCA,1206149389.1521,,2301,,18.3819999694824,1.507,46.9075631253804,33.5737704918033,34.82,22.3067463608545,307000,610,74.788
St. Martin (French part),MAF,,,,,,1.82,,18.3823529411765,,,,54.4,79.0219512195122
St. Vincent and the Grenadines,VCT,565569099.764635,,1583,0.884959995746613,12.5310001373291,2.021,83.8377759495009,69.2307692307692,40,25.6110054148983,74000,390,72.657
Sudan,SDN,52320211616.5788,777346.331924026,250,43.5957183837891,18.9790000915527,4.771,,8.30521043771044,21,,575000,2376000,63.384
Suriname,SUR,2878881545.06088,240525.441452855,2331,8.49240016937256,23.2469997406006,2.47,3.55651912823851,98.3551282051282,34.6812,,240000,156000,70.79
Sweden,SWE,464165423565.636,,624,0.400559991598129,19.6110000610352,1.91,4.96747584787019,68.9178573182108,93.1799880065108,0.712720499214592,5146000,407340,81.7048780487805
Switzerland,CHE,544998936320.074,26386306.6034666,1537,0.787660002708435,21.6079998016357,1.52,3.74645898719684,31.4454904342545,85.2,0.560281983697039,8566000,39516,82.6975609756098
Syrian Arab Republic,SYR,,907927.74176397,252,,31.8759994506836,3.113,,2.67385503458041,24.3001,,,183630,70.549
Tajikistan,TJK,8258326547.40644,650130.547389031,691,1.87170994281769,13.3299999237061,3.492,,2.93512432123464,14.51,,244000,139960,70.234
Tanzania,TZA,34422532004.194,1030203.57520377,1071,16.4136199951172,5.78999996185303,5.287,38.3456508502627,53.2580717995033,3.95,8.33689923213124,1043000,885800,62.528
Thailand,THA,306380385627.449,36392469.3545263,1622,,19.82200050354,1.534,13.7749157894019,31.9227230910764,26.46,4.89800281318995,22354000,510890,74.446
Timor-Leste,TLS,,,1500,8.37831974029541,11.9090003967285,5.983,,48.3927370544721,7,,58000,14870,67.805
Togo,TGO,2054764810.36765,745781.748091383,1168,,18.0620002746582,4.727,16.6028669928905,4.54863026291598,4,,235000,54390,58.668
Tonga,TON,443210602.009991,,,1.57723999023438,30.806999206543,3.815,75.9616663900894,12.5,30,0.952825604329639,47400,720,72.446
Trinidad and Tobago,TTO,16008374238.1424,2625055.71304041,2200,,28.9120006561279,1.798,3.59426910874075,44.7621832358674,59.5162,28.3246421405081,455000,5130,70.118
Tunisia,TUN,33883683440.2767,3580910.21873467,207,0.106349997222424,45.1279983520508,2.214,9.33667450020249,6.50360453141092,41.4416,3.04960158608676,6999000,155360,75.023
Turkey,TUR,738239054438.156,63350312,593,6.15748977661133,26.0270004272461,2.124,10.7682150188184,14.8224471499292,45.13,4.31273398945448,35698000,769630,74.711
Turkmenistan,TKM,,147500,161,,45.101001739502,2.936,,8.78215904496414,7.1958,,,469930,67.167
Turks and Caicos Islands,TCA,,,,,,,15.942377269413,36.2105263157895,,,291700,950,
Tuvalu,TUV,,,161,,,,,33.3333333333333,35,18.6480186480186,1100,30,
Uganda,UGA,17017225733.4839,182144.4,1180,,8.01500034332275,5.964,46.4939716509129,12.3808098942749,14.1,11.1990052771387,1197000,200520,58.347
Ukraine,UKR,146823768435.465,5828107.61211785,565,6.12211990356445,25.8850002288818,1.531,25.8838427864701,16.5566526272181,35.27,5.15112317087442,23013000,579320,70.9441463414634
United Arab Emirates,ARE,333789835673.503,59948766.6976478,78,5.3539400100708,29.7569999694824,1.82,1.67577268585739,3.82081339712919,84.9999915049492,0.775241439958168,,83600,76.648
United Kingdom,GBR,2274097972611.48,115419920.565667,1220,1.37095999717712,19.0659999847412,1.92,6.23885670386572,12.7846897863018,87.4799984242111,0.975870474128304,29282000,241930,80.9048780487805
United States,USA,14001892336819.9,736699000,715,,18.5,1.8805,10.1824346198985,33.8095331798474,74.7,4.7412449756758,66657000,9147420,78.7414634146342
Uruguay,URY,44043728892.4774,,1300,,21.1299991607666,2.048,66.0871581645482,10.151868357902,54.453768680746,7.86039236605759,2695000,175020,76.89
Uzbekistan,UZB,42636157104.6092,2593509,206,5.94615983963013,37.1209983825684,2.193,,7.6475317348378,23.6,,,425400,70.604
Vanuatu,VUT,663967133.430903,318747,206,,5.58300018310547,3.419,,36.0951599671862,10.598,,108200,12190,71.241
"Venezuela, RB",VEN,343549579382.423,7738509.64544939,2044,6.34383010864258,22.9650001525879,2.417,0,53.4847230882603,49.0500830729861,53.7649516209103,988000,882050,73.885
Vietnam,VNM,125846248691.457,16976051.3812163,1821,1.79843997955322,20.996000289917,1.957,17.0545845867914,46.3959751023962,36.8,,6848000,310070,75.476
Virgin Islands (U.S.),VIR,,,,,11.6560001373291,2.05,,51.2571428571429,40.5479,49.2624837765378,620000,350,78.6682926829268
West Bank and Gaza,PSE,,,402,7.03001022338867,27.0069999694824,4.281,17.0213614074945,1.52325581395349,43.4,0.605360701845885,490000,6020,72.783
"Yemen, Rep.",YEM,29412604505.9115,1299707.2391082,167,15.4524297714233,15.8009996414185,4.44,6.31630162904815,1.03983180862549,17.4465,6.48736254950779,874000,527970,64.046
Zambia,ZMB,18898527559.042,127296.65,1020,9.87469005584717,10.1040000915527,5.242,11.1497151327371,66.0955891254927,13.4682,6.02043396512516,859000,743390,59.011
Zimbabwe,ZWE,9727580408.18354,320945.999810999,657,11.9365797042847,8.33899974822998,3.996,31.2915484246852,38.772650898281,12,6.66855824411219,1794000,386850,56.516
